#Language	Extension	comment_markers_regex
Abaqus	.inp	(\*|\/\/)
Myrddin	.myr    (\/\/|#|\/\*|\*)
NSIS	.nsi    (\/\/|;|\/\*|\*)
OCaml	.ml    (\/\/|\(\*|\*)
Org	.org    (\/\/|#|\/\*|\*)
PHP	.php    (\/\/|\/\*|\#)
Pascal	.pas    (\/\/|\{|\(\*|\*)
Passwd	.passwd    (\/\/|#|\/\*|\*)
Perl	.pl    (\/\/|#|\/\*|\*)
Pod	.pod    (\/\/|=|\/\*|\*)
PowerShell	.ps1    (\/\/|#|\/\*|\*)
Protobuf	.proto    (\/\/|\/\*|\*)
PuppetManifest	.pp    (\/\/|#|\/\*|\*)
Python	.py    (\/\/|#|\/\*|\*)
QtMoc	.moc    (\/\/|\/\*|\*)
Quarto	.qmd    (\/\/|<!--|\/\*|\*)
R	.r    (\/\/|#|\/\*|\*)
R6Class	.r6    (\/\/|#|\/\*|\*)
RDoc	.rd    (\/\/|#|\/\*|\*)
REXX	.rex	(\/\/|--|\/\*|\*)
RMarkdown	.rmd    (\/\/|<!--|\/\*|\*)
Ruby	.rb    (\/\/|#|\/\*|\*)
Rust	.rs	(\/\/|\/\*|\#)
S4Class	.s4    (\/\/|#|\/\*|\*)
SCSS	.scss    (\/\/|\/\*|\*)
SELinuxInterface	.if	(\/\/|#|\/\*|\*)
SELinuxTypeEnforcement	.te    (\/\/|#|\/\*|\*)
SLang	.sl    (\/\/|#|\/\*|\*)
SML	.sml    (\/\/|--|\/\*|\*)
SQL	.sql    (\/\/|--|\/\*|\*)
SVG	.svg    (\/\/|<!--|\/\*|\*)
Scdoc	.scd	(\/\/|#|\/\*|\*)
Scheme	.scm    (\/\/|;|\/\*|\*)
Sh	.sh    (\/\/|#|\/\*|\*)
SystemTap	.stp    (\/\/|#|\/\*|\*)
SystemVerilog	.sv    (\/\/|\/\*|\*)
SystemdUnit	.service    (\/\/|#|\/\*|\*)
TOML	.toml    (\/\/|#|\/\*|\*)
TTCN	.ttcn    (\/\/|\/\*|\*)
Tcl	.tcl    (\/\/|#|\/\*|\*)
Terraform	.tf    (\/\/|#|\/\*|\*)
Tex	.tex    (\/\/|%|\/\*|\*)
Thrift	.thrift    (\/\/|\/\*|\*)
Txt2tags	.t2t    (\/\/|#|\/\*|\*)
TypeScript	.ts    (\/\/|\/\*|\*)
TypeSpec	.tsp	(\/\/|\/\*|\*)
Verilog	.v    (\/\/|\/\*|\*)
VHDL	.vhdl    (\/\/|--|\/\*|\*)
Varlink	.varlink    (\/\/|#|\/\*|\*)
Vera	.vr	(\/\/|\/\*|\*)
Vim	.vim    (\/\/|\"|\/\*|\*)
WindRes	.rc    (\/\/|\/\*|\*)
XML	.xml    (\/\/|<!--|\/\*|\*)
XRC	.xrc    (\/\/|<!--|\/\*|\*)
XSLT	.xslt    (\/\/|<!--|\/\*|\*)
YACC	.y    (\/\/|\/\*|\*)
YumRepo	.repo    (\/\/|#|\/\*|\*)
Zephir	.zep    (\/\/|\/\*|\*)
Zsh	.zsh    (\/\/|#|\/\*|\*)
